Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
12941 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/6:4-kdmflush/254:63]
12926 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0-pm]
12836 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/2:4-pm]
12809 root          0 -20    0    0    0 I  0.0   0.0   0:00.20 [kworker/0:3H-kverityd]
12787 root          0 -20    0    0    0 I  0.0   0.0   0:00.41 [kworker/1:5H-kverityd]
12397 root         20   0    0    0    0 I  0.0   0.0   0:00.08 [kworker/7:0-events_freezable_pwr_efficient]
12396 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/5:4-pm]
12360 root          0 -20    0    0    0 I  0.0   0.0   0:00.20 [kworker/2:3H-kverityd]
12215 u0_a235      20   0  10G  88M  64M S  0.0   2.4   0:15.24 com.google.android.apps.messaging
11989 root          0 -20    0    0    0 I  0.0   0.0   0:00.19 [kworker/1:2H-kverityd]
10940 root          0 -20    0    0    0 I  0.0   0.0   0:00.36 [kworker/0:0H-kverityd]
10876 root          0 -20    0    0    0 I  0.0   0.0   0:00.51 [kworker/3:1H-kverityd]
10588 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/4:5-pm]
10531 root         20   0    0    0    0 I  0.0   0.0   0:00.21 [kworker/6:3-events]
10379 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0-pm]
10104 root         20   0    0    0    0 I  0.0   0.0   0:00.49 [kworker/3:0-pm]
 9928 root         20   0    0    0    0 I  0.0   0.0   0:02.30 [kworker/u32:19-async]
 9926 root         20   0    0    0    0 I  0.0   0.0   0:02.85 [kworker/u32:17-ged_fence]
 9925 root         20   0    0    0    0 I  0.0   0.0   0:02.18 [kworker/u32:16-async]
 9840 root          0 -20    0    0    0 I  0.0   0.0   0:00.12 [kworker/1:3H-kverityd]
 9554 root          0 -20    0    0    0 I  0.0   0.0   0:00.12 [kworker/3:0H-kverityd]
 9451 root         20   0    0    0    0 I  0.0   0.0   0:00.23 [kworker/7:7-events_freezable_pwr_efficient]
 9315 root         20   0    0    0    0 I  0.0   0.0   0:02.21 [kworker/u32:15-async]
 9314 root         20   0    0    0    0 I  0.0   0.0   0:03.26 [kworker/u32:14-ged_fence]
 9313 root         20   0    0    0    0 I  0.0   0.0   0:03.11 [kworker/u32:13-ged_fence]
 9304 root         20   0    0    0    0 I  0.0   0.0   0:00.36 [kworker/6:7-events_freezable_pwr_efficient]
 9297 root         20   0    0    0    0 I  0.0   0.0   0:00.27 [kworker/7:6-events]
